Anglais	Français	Kabyle	URL-Audio	URL-Image
Bread	Pain	Aɣrum	https://d27s18bdmp7aby.cloudfront.net/pistes_maternelle/aghrum.mp3	https://d27s18bdmp7aby.cloudfront.net/images_jeu/foods/Bread Loaf.jpg 
Grape	Raisin	Aḍil	https://d27s18bdmp7aby.cloudfront.net/pistes_maternelle/adil.mp3	https://d27s18bdmp7aby.cloudfront.net/images_jeu/foods/Grapes 1.jpg 
Chocolate	Chocolat	Ccikula	https://d27s18bdmp7aby.cloudfront.net/pistes_maternelle/ccikula.mp3	https://d27s18bdmp7aby.cloudfront.net/images_jeu/foods/chocolat.jpg 
Egg	Œuf	Tamellalt	https://d27s18bdmp7aby.cloudfront.net/pistes_maternelle/tamel.mp3	https://d27s18bdmp7aby.cloudfront.net/images_jeu/foods/egg.jpg 
Hamburger	Hamburger	Hamburger	https://d27s18bdmp7aby.cloudfront.net/pistes_maternelle/amber.mp3	https://d27s18bdmp7aby.cloudfront.net/images_jeu/foods/hamburger.jpg 
Car	Voiture	Takeṛṛust	https://d27s18bdmp7aby.cloudfront.net/pistes_maternelle/takerrust.mp3	https://d27s18bdmp7aby.cloudfront.net/images_jeu/vehicles/car2.jpg 
Bus	Autobus	Lkaṛ	https://d27s18bdmp7aby.cloudfront.net/pistes_maternelle/lkar.mp3	https://d27s18bdmp7aby.cloudfront.net/images_jeu/vehicles/bus.jpg 
Bike	Vélo	Avilu	https://d27s18bdmp7aby.cloudfront.net/pistes_maternelle/avilu.mp3	https://d27s18bdmp7aby.cloudfront.net/images_jeu/vehicles/bike.jpg 
Truck	Camion	Akamyun	https://d27s18bdmp7aby.cloudfront.net/pistes_maternelle/akamyun.mp3	https://d27s18bdmp7aby.cloudfront.net/images_jeu/vehicles/truck.jpg 
Train	Train	Tamacint	https://d27s18bdmp7aby.cloudfront.net/pistes_maternelle/tamacint.mp3	https://d27s18bdmp7aby.cloudfront.net/images_jeu/vehicles/train.jpg 
Boat	Bateau	Lbabuṛ	https://d27s18bdmp7aby.cloudfront.net/pistes_maternelle/lbabur.mp3	https://d27s18bdmp7aby.cloudfront.net/images_jeu/vehicles/boat4.jpg 
Plane	Avion	Asafag	https://d27s18bdmp7aby.cloudfront.net/pistes_maternelle/asafag.mp3	https://d27s18bdmp7aby.cloudfront.net/images_jeu/vehicles/plane4.jpg 
Motorbike	Moto	Amuṭu	https://d27s18bdmp7aby.cloudfront.net/pistes_maternelle/amutu.mp3	https://d27s18bdmp7aby.cloudfront.net/images_jeu/vehicles/motorbike.jpg 
